Date,Close,High,Low,Open,Volume
,ROLEXRINGS.NS,ROLEXRINGS.NS,ROLEXRINGS.NS,ROLEXRINGS.NS,ROLEXRINGS.NS
01/01/2025,185.8950043,187.25,183.8000031,183.8999939,107650
02/01/2025,188.0350037,192.2850037,185.5299988,185.5299988,184450
03/01/2025,188.2850037,193.5,187,189.7299957,144160
06/01/2025,185.5800018,189.9900055,184.1300049,189.9799957,144030
07/01/2025,186.0800018,189.3899994,185,187.1999969,304690
08/01/2025,185.0549927,189.4450073,179.4499969,187.6699982,105030
09/01/2025,185.0449982,187,183.2050018,184.1300049,77600
10/01/2025,180.5149994,186.5700073,179.0050049,185,111760
13/01/2025,175.9250031,181.1300049,174,179.3999939,117950
14/01/2025,178.7050018,179.4299927,174.6900024,175,62060
15/01/2025,179.1000061,180.3350067,177.7700043,180.3350067,41590
16/01/2025,178.1300049,184.8249969,174.0500031,180,181400
17/01/2025,177.9499969,179.8999939,177.0749969,178.1300049,54720
20/01/2025,179.7449951,182.8950043,176.8549957,179.5800018,63760
21/01/2025,177.1849976,182.2250061,175.5950012,181.3549957,59260
22/01/2025,173.6399994,177.2949982,172.5,176.8300018,89790
23/01/2025,174.8300018,175.2949982,173.0700073,173.1999969,41790
24/01/2025,172.4750061,176.8450012,171.5,175.6999969,57410
27/01/2025,176.4400024,181.6999969,167.0399933,170,176170
28/01/2025,173.3450012,177.5,169.2599945,175.5,104300
29/01/2025,173.5050049,175.3950043,172.2100067,173.3899994,52310
30/01/2025,177.6849976,178.9900055,174.2850037,176.1100006,49960
31/01/2025,179.8300018,180.8049927,176.25,178.5,38640
01/02/2025,178.6399994,181.6750031,176.8200073,179.6349945,43040
03/02/2025,173.0500031,181.7949982,172.0099945,178.6450043,55830
04/02/2025,173.4400024,175.625,170.9100037,174.9850006,497770
05/02/2025,174.2649994,175.4850006,172.4100037,173.3999939,722060
06/02/2025,173.4550018,180.9900055,172,175.7899933,142000
07/02/2025,169.9949951,174.9450073,168.1000061,171,615240
10/02/2025,166.6300049,171.5749969,165.3099976,171.5200043,54820
11/02/2025,160.9100037,166.7599945,158,166.7050018,89970
12/02/2025,157.5050049,160.2749939,152.8350067,160.2749939,118030
13/02/2025,152.4750061,159.7949982,150.3500061,156.5500031,103350
14/02/2025,149.0899963,154.3950043,136.2350006,153.1000061,237450
17/02/2025,149.1100006,150,141.0549927,149.8399963,547810
18/02/2025,150.9949951,153.3899994,148.3549957,149.8899994,638980
19/02/2025,151.5700073,152.5,149,150.9949951,522340
20/02/2025,152.5899963,157.6799927,151.3150024,152.1649933,82680
21/02/2025,153.1399994,155.6900024,150.8999939,152.8000031,60880
24/02/2025,149.0200043,153.9750061,147.8999939,153.9049988,85240
25/02/2025,145.7149963,150.0050049,145.2550049,148.5749969,160000
27/02/2025,143.0650024,147.0299988,141.8000031,147.0299988,42190
28/02/2025,141.4649963,146.9799957,137.1999969,142.1450043,111260
03/03/2025,146.1000061,147,137.2100067,143,119080
04/03/2025,140.3249969,145.6450043,140,143.8000031,121210
05/03/2025,141.6900024,144.5249939,139.4250031,141.4850006,121790
06/03/2025,143.0399933,145.8600006,140.5,142.9900055,214340
07/03/2025,142.5700073,145.1349945,140.7050018,143.8849945,269970
10/03/2025,140.6600037,145.5,138.4349976,143.8300018,1386040
11/03/2025,139.1900024,140.7749939,135.1000061,138.1499939,272610
12/03/2025,138.6750031,140.2299957,135.3999939,140.2299957,245120
