DATE,OPEN,HIGH,LOW,CLOSE,VOLUME
31/12/2025,52.0,53.16,51.91,52.67,38744091
30/12/2025,52.73,52.8,51.81,52.0,101385408
29/12/2025,53.44,53.85,52.61,52.73,35515877
26/12/2025,53.3,54.13,53.1,53.2,41885960
24/12/2025,53.59,55.05,53.16,53.3,44076962
23/12/2025,53.51,53.84,53.32,53.62,30259539
22/12/2025,52.9,53.74,52.8,53.51,38903607
19/12/2025,51.8,52.75,51.54,52.59,37121138
18/12/2025,51.91,52.0,51.32,51.78,30872497
17/12/2025,52.6,52.65,51.8,51.94,30348315
16/12/2025,53.14,53.14,52.25,52.67,33821093
15/12/2025,52.99,53.35,52.55,53.14,30122901
12/12/2025,52.5,53.1,52.5,53.02,42524157
11/12/2025,51.7,52.44,51.32,52.04,52982896
10/12/2025,52.8,53.2,51.35,51.54,59123651
09/12/2025,51.99,52.77,51.0,52.55,64804664
08/12/2025,52.01,53.0,51.57,51.78,97482417
05/12/2025,51.13,52.15,50.75,51.74,61141969
04/12/2025,52.65,52.84,50.6,50.85,76794810
03/12/2025,53.43,53.65,52.22,52.59,42825048
02/12/2025,53.75,54.1,53.21,53.42,41115861
01/12/2025,54.3,54.74,53.52,53.72,33170385
28/11/2025,55.0,55.0,53.75,54.01,52551047
27/11/2025,55.7,55.9,54.81,54.93,28645872
26/11/2025,54.2,55.69,54.14,55.58,43866679
25/11/2025,54.5,54.95,54.11,54.19,36680917
24/11/2025,55.1,55.54,54.4,54.61,96347031
21/11/2025,56.67,56.72,55.0,55.1,42894379
20/11/2025,56.6,57.15,56.52,56.7,37658777
19/11/2025,56.95,57.08,56.3,56.53,35976206
18/11/2025,57.88,57.88,56.7,56.9,29797672
17/11/2025,57.8,58.16,57.5,57.7,36049802
14/11/2025,57.5,58.29,57.03,57.68,41214942
13/11/2025,58.29,58.34,57.41,57.58,40221624
12/11/2025,58.2,58.95,57.67,58.48,53042828
11/11/2025,57.6,58.05,56.86,57.82,50483890
10/11/2025,57.9,58.2,57.01,57.43,63054794
07/11/2025,59.5,59.5,56.93,57.38,122840652
06/11/2025,61.5,61.5,59.46,59.61,147235071
04/11/2025,59.59,61.37,58.83,59.99,317089760
03/11/2025,59.47,59.88,58.53,59.24,75149800
31/10/2025,58.78,60.18,58.66,59.3,108026021
30/10/2025,58.5,59.33,57.92,58.51,83463327
29/10/2025,56.44,58.78,55.98,58.19,154967971
28/10/2025,53.71,56.47,53.6,56.22,134473878
27/10/2025,54.1,54.16,53.63,53.71,24719719
27/10/2025,54.0,54.0,54.0,53.71,1
24/10/2025,54.68,55.18,53.65,53.82,44370005
23/10/2025,54.54,55.25,54.22,54.53,76480331
21/10/2025,53.6,54.34,53.4,54.18,22821584
20/10/2025,53.19,53.69,52.92,53.09,34409429
17/10/2025,53.61,53.95,52.0,52.92,173663310
16/10/2025,53.93,54.2,53.41,53.61,48868416
15/10/2025,54.21,54.6,53.58,53.73,56703266
